"Step","chocolate-sweep-2 - Train/Accuracies_most_certrain_per_input","chocolate-sweep-2 - Train/Accuracies_most_certrain_per_input__MIN","chocolate-sweep-2 - Train/Accuracies_most_certrain_per_input__MAX"
"1000","0.28422619047619047","0.28422619047619047","0.28422619047619047"
"2000","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"3000","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"4000","0.24479166666666666","0.24479166666666666","0.24479166666666666"
"5000","0.25669642857142855","0.25669642857142855","0.25669642857142855"
"6000","0.22098214285714285","0.22098214285714285","0.22098214285714285"
"7000","0.26785714285714285","0.26785714285714285","0.26785714285714285"
"8000","0.26860119047619047","0.26860119047619047","0.26860119047619047"
"9000","0.2611607142857143","0.2611607142857143","0.2611607142857143"
"10000","0.24479166666666666","0.24479166666666666","0.24479166666666666"
"11000","0.2611607142857143","0.2611607142857143","0.2611607142857143"
"12000","0.25744047619047616","0.25744047619047616","0.25744047619047616"
"13000","0.21726190476190477","0.21726190476190477","0.21726190476190477"
"14000","0.23809523809523808","0.23809523809523808","0.23809523809523808"
"15000","0.22916666666666666","0.22916666666666666","0.22916666666666666"
"16000","0.22916666666666666","0.22916666666666666","0.22916666666666666"
"17000","0.24107142857142858","0.24107142857142858","0.24107142857142858"
"18000","0.2700892857142857","0.2700892857142857","0.2700892857142857"
"19000","0.24330357142857142","0.24330357142857142","0.24330357142857142"
"20000","0.27232142857142855","0.27232142857142855","0.27232142857142855"
"21000","0.22321428571428573","0.22321428571428573","0.22321428571428573"
"22000","0.22544642857142858","0.22544642857142858","0.22544642857142858"
"23000","0.25595238095238093","0.25595238095238093","0.25595238095238093"
"24000","0.24627976190476192","0.24627976190476192","0.24627976190476192"
"25000","0.203125","0.203125","0.203125"
"26000","0.24925595238095238","0.24925595238095238","0.24925595238095238"
"27000","0.24330357142857142","0.24330357142857142","0.24330357142857142"
"28000","0.25744047619047616","0.25744047619047616","0.25744047619047616"
"29000","0.27232142857142855","0.27232142857142855","0.27232142857142855"
"30000","0.2775297619047619","0.2775297619047619","0.2775297619047619"
"31000","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"32000","0.2418154761904762","0.2418154761904762","0.2418154761904762"
"33000","0.24404761904761904","0.24404761904761904","0.24404761904761904"
"34000","0.25148809523809523","0.25148809523809523","0.25148809523809523"
"35000","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"36000","0.2864583333333333","0.2864583333333333","0.2864583333333333"
"37000","0.25892857142857145","0.25892857142857145","0.25892857142857145"
"38000","0.22023809523809523","0.22023809523809523","0.22023809523809523"
"39000","0.27157738095238093","0.27157738095238093","0.27157738095238093"
"40000","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"41000","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"42000","0.21651785714285715","0.21651785714285715","0.21651785714285715"
"43000","0.25818452380952384","0.25818452380952384","0.25818452380952384"
"44000","0.26711309523809523","0.26711309523809523","0.26711309523809523"
"45000","0.27827380952380953","0.27827380952380953","0.27827380952380953"
"46000","0.26860119047619047","0.26860119047619047","0.26860119047619047"
"47000","0.2544642857142857","0.2544642857142857","0.2544642857142857"
"48000","0.25297619047619047","0.25297619047619047","0.25297619047619047"
"49000","0.25669642857142855","0.25669642857142855","0.25669642857142855"