"Step","chocolate-sweep-2 - Train/Losses","chocolate-sweep-2 - Train/Losses__MIN","chocolate-sweep-2 - Train/Losses__MAX"
"1000","1.6976398229599","1.6976398229599","1.6976398229599"
"2000","1.5381920507975988","1.5381920507975988","1.5381920507975988"
"3000","1.4526949723561604","1.4526949723561604","1.4526949723561604"
"4000","1.4669971863428752","1.4669971863428752","1.4669971863428752"
"5000","1.4462396303812664","1.4462396303812664","1.4462396303812664"
"6000","1.4604199330012004","1.4604199330012004","1.4604199330012004"
"7000","1.3783518075942993","1.3783518075942993","1.3783518075942993"
"8000","1.379763852982294","1.379763852982294","1.379763852982294"
"9000","1.3990580070586431","1.3990580070586431","1.3990580070586431"
"10000","1.3971080496197654","1.3971080496197654","1.3971080496197654"
"11000","1.3945206119900657","1.3945206119900657","1.3945206119900657"
"12000","1.3903176954814367","1.3903176954814367","1.3903176954814367"
"13000","1.4331423611867995","1.4331423611867995","1.4331423611867995"
"14000","1.416275875908988","1.416275875908988","1.416275875908988"
"15000","1.4095708642687117","1.4095708642687117","1.4095708642687117"
"16000","1.4157671587807792","1.4157671587807792","1.4157671587807792"
"17000","1.395729320389884","1.395729320389884","1.395729320389884"
"18000","1.3465415579932076","1.3465415579932076","1.3465415579932076"
"19000","1.3753247601645333","1.3753247601645333","1.3753247601645333"
"20000","1.3384307566143216","1.3384307566143216","1.3384307566143216"
"21000","1.3978444905508132","1.3978444905508132","1.3978444905508132"
"22000","1.3906077657427107","1.3906077657427107","1.3906077657427107"
"23000","1.3815524237496513","1.3815524237496513","1.3815524237496513"
"24000","1.3789917287372409","1.3789917287372409","1.3789917287372409"
"25000","1.3927155903407507","1.3927155903407507","1.3927155903407507"
"26000","1.3732564960207259","1.3732564960207259","1.3732564960207259"
"27000","1.3856662114461262","1.3856662114461262","1.3856662114461262"
"28000","1.3462735982168288","1.3462735982168288","1.3462735982168288"
"29000","1.3457658007031394","1.3457658007031394","1.3457658007031394"
"30000","1.3323474327723186","1.3323474327723186","1.3323474327723186"
"31000","1.3347794044585455","1.3347794044585455","1.3347794044585455"
"32000","1.3641286691029866","1.3641286691029866","1.3641286691029866"
"33000","1.3688801186425346","1.3688801186425346","1.3688801186425346"
"34000","1.3715259688241142","1.3715259688241142","1.3715259688241142"
"35000","1.3469440993808566","1.3469440993808566","1.3469440993808566"
"36000","1.316281108629136","1.316281108629136","1.316281108629136"
"37000","1.3485605830237979","1.3485605830237979","1.3485605830237979"
"38000","1.4119938157853626","1.4119938157853626","1.4119938157853626"
"39000","1.3281985748381842","1.3281985748381842","1.3281985748381842"
"40000","1.3711237623578025","1.3711237623578025","1.3711237623578025"
"41000","1.340836763381958","1.340836763381958","1.340836763381958"
"42000","1.409484829221453","1.409484829221453","1.409484829221453"
"43000","1.3479968933832078","1.3479968933832078","1.3479968933832078"
"44000","1.3393988382248652","1.3393988382248652","1.3393988382248652"
"45000","1.325018774895441","1.325018774895441","1.325018774895441"
"46000","1.345870818410601","1.345870818410601","1.345870818410601"
"47000","1.3513672068005516","1.3513672068005516","1.3513672068005516"
"48000","1.3425105356034779","1.3425105356034779","1.3425105356034779"
"49000","1.3376942645935785","1.3376942645935785","1.3376942645935785"