"Step","morning-sweep-3 - Train/Accuracies_most_certrain_per_input","morning-sweep-3 - Train/Accuracies_most_certrain_per_input__MIN","morning-sweep-3 - Train/Accuracies_most_certrain_per_input__MAX"
"1000","0.2819940476190476","0.2819940476190476","0.2819940476190476"
"2000","0.27901785714285715","0.27901785714285715","0.27901785714285715"
"3000","0.26264880952380953","0.26264880952380953","0.26264880952380953"
"4000","0.28125","0.28125","0.28125"
"5000","0.29985119047619047","0.29985119047619047","0.29985119047619047"
"6000","0.28943452380952384","0.28943452380952384","0.28943452380952384"
"7000","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"8000","0.3087797619047619","0.3087797619047619","0.3087797619047619"
"9000","0.2418154761904762","0.2418154761904762","0.2418154761904762"
"10000","0.27306547619047616","0.27306547619047616","0.27306547619047616"
"11000","0.2849702380952381","0.2849702380952381","0.2849702380952381"
"12000","0.2864583333333333","0.2864583333333333","0.2864583333333333"
"13000","0.2663690476190476","0.2663690476190476","0.2663690476190476"
"14000","0.24925595238095238","0.24925595238095238","0.24925595238095238"
"15000","0.27232142857142855","0.27232142857142855","0.27232142857142855"
"16000","0.2775297619047619","0.2775297619047619","0.2775297619047619"
"17000","0.2663690476190476","0.2663690476190476","0.2663690476190476"
"18000","0.2819940476190476","0.2819940476190476","0.2819940476190476"
"19000","0.24330357142857142","0.24330357142857142","0.24330357142857142"
"20000","0.3005952380952381","0.3005952380952381","0.3005952380952381"
"21000","0.2700892857142857","0.2700892857142857","0.2700892857142857"
"22000","0.2760416666666667","0.2760416666666667","0.2760416666666667"
"23000","0.2819940476190476","0.2819940476190476","0.2819940476190476"
"24000","0.27232142857142855","0.27232142857142855","0.27232142857142855"
"25000","0.2961309523809524","0.2961309523809524","0.2961309523809524"
"26000","0.3125","0.3125","0.3125"
"27000","0.3020833333333333","0.3020833333333333","0.3020833333333333"
"28000","0.3177083333333333","0.3177083333333333","0.3177083333333333"
"29000","0.2864583333333333","0.2864583333333333","0.2864583333333333"
"30000","0.30282738095238093","0.30282738095238093","0.30282738095238093"
"31000","0.3162202380952381","0.3162202380952381","0.3162202380952381"
"32000","0.3013392857142857","0.3013392857142857","0.3013392857142857"
"33000","0.29985119047619047","0.29985119047619047","0.29985119047619047"
"34000","0.28273809523809523","0.28273809523809523","0.28273809523809523"
"35000","0.3169642857142857","0.3169642857142857","0.3169642857142857"
"36000","0.29017857142857145","0.29017857142857145","0.29017857142857145"
"37000","0.3013392857142857","0.3013392857142857","0.3013392857142857"
"38000","0.29836309523809523","0.29836309523809523","0.29836309523809523"
"39000","0.30654761904761907","0.30654761904761907","0.30654761904761907"
"40000","0.2976190476190476","0.2976190476190476","0.2976190476190476"
"41000","0.3169642857142857","0.3169642857142857","0.3169642857142857"
"42000","0.29389880952380953","0.29389880952380953","0.29389880952380953"
"43000","0.3005952380952381","0.3005952380952381","0.3005952380952381"
"44000","0.3072916666666667","0.3072916666666667","0.3072916666666667"
"45000","0.31398809523809523","0.31398809523809523","0.31398809523809523"
"46000","0.29092261904761907","0.29092261904761907","0.29092261904761907"
"47000","0.3325892857142857","0.3325892857142857","0.3325892857142857"
"48000","0.31026785714285715","0.31026785714285715","0.31026785714285715"
"49000","0.3288690476190476","0.3288690476190476","0.3288690476190476"