"Step","morning-sweep-3 - Train/Losses","morning-sweep-3 - Train/Losses__MIN","morning-sweep-3 - Train/Losses__MAX"
"1000","1.5717982451121013","1.5717982451121013","1.5717982451121013"
"2000","1.469924875668117","1.469924875668117","1.469924875668117"
"3000","1.4846213318052746","1.4846213318052746","1.4846213318052746"
"4000","1.4310712303434099","1.4310712303434099","1.4310712303434099"
"5000","1.3975071679978144","1.3975071679978144","1.3975071679978144"
"6000","1.4295239278248377","1.4295239278248377","1.4295239278248377"
"7000","1.4254283167067028","1.4254283167067028","1.4254283167067028"
"8000","1.3936343817483812","1.3936343817483812","1.3936343817483812"
"9000","1.4679396549860637","1.4679396549860637","1.4679396549860637"
"10000","1.36971610500699","1.36971610500699","1.36971610500699"
"11000","1.3481480791455223","1.3481480791455223","1.3481480791455223"
"12000","1.350234758286249","1.350234758286249","1.350234758286249"
"13000","1.3926153920945668","1.3926153920945668","1.3926153920945668"
"14000","1.3947017930802845","1.3947017930802845","1.3947017930802845"
"15000","1.3678358282361711","1.3678358282361711","1.3678358282361711"
"16000","1.3670914967854817","1.3670914967854817","1.3670914967854817"
"17000","1.3577227024804979","1.3577227024804979","1.3577227024804979"
"18000","1.3429171641667683","1.3429171641667683","1.3429171641667683"
"19000","1.3937167042777652","1.3937167042777652","1.3937167042777652"
"20000","1.3196131388346355","1.3196131388346355","1.3196131388346355"
"21000","1.3478709005174183","1.3478709005174183","1.3478709005174183"
"22000","1.353482723236084","1.353482723236084","1.353482723236084"
"23000","1.3437227464857555","1.3437227464857555","1.3437227464857555"
"24000","1.3357630854561215","1.3357630854561215","1.3357630854561215"
"25000","1.3094807409104847","1.3094807409104847","1.3094807409104847"
"26000","1.2930543082101005","1.2930543082101005","1.2930543082101005"
"27000","1.3059371198926653","1.3059371198926653","1.3059371198926653"
"28000","1.2902459757668632","1.2902459757668632","1.2902459757668632"
"29000","1.3257151728584653","1.3257151728584653","1.3257151728584653"
"30000","1.3050414380573092","1.3050414380573092","1.3050414380573092"
"31000","1.2815017586662656","1.2815017586662656","1.2815017586662656"
"32000","1.3252510229746501","1.3252510229746501","1.3252510229746501"
"33000","1.3040687810807001","1.3040687810807001","1.3040687810807001"
"34000","1.3302575065976097","1.3302575065976097","1.3302575065976097"
"35000","1.265625686872573","1.265625686872573","1.265625686872573"
"36000","1.3059165137154716","1.3059165137154716","1.3059165137154716"
"37000","1.2987008208320254","1.2987008208320254","1.2987008208320254"
"38000","1.3129666873386927","1.3129666873386927","1.3129666873386927"
"39000","1.27942308925447","1.27942308925447","1.27942308925447"
"40000","1.311928011122204","1.311928011122204","1.311928011122204"
"41000","1.2877078567232405","1.2877078567232405","1.2877078567232405"
"42000","1.3296931414377122","1.3296931414377122","1.3296931414377122"
"43000","1.30965294724419","1.30965294724419","1.30965294724419"
"44000","1.2928067729586648","1.2928067729586648","1.2928067729586648"
"45000","1.2915056773594447","1.2915056773594447","1.2915056773594447"
"46000","1.320715274129595","1.320715274129595","1.320715274129595"
"47000","1.2631939081918626","1.2631939081918626","1.2631939081918626"
"48000","1.2871142058145433","1.2871142058145433","1.2871142058145433"
"49000","1.2808006661278861","1.2808006661278861","1.2808006661278861"